naziv_kluba,ime_dvorane,mjesto_sjedista,glavni_trener,godina_osnutka,pozicija2021,naziv_lige,kapacitet_dvorane,punoime_igraca,punoime_pomocnika
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,David Schmidt,Oliver Schuhmacher
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,Tomáš Babák,Oliver Schuhmacher
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,Linus Arnesson,Oliver Schuhmacher
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,Tom Kåre Nikolaisen,Oliver Schuhmacher
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,Arnór Þór Gunnarsson,Oliver Schuhmacher
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,Jeffrey Boomhouwer,Oliver Schuhmacher
Bergischer HC,ISS DOME,Düsseldorf,Jörg Föste,2006,12,Handball-Bundesliga,12500,Tomáš Mrkva,Oliver Schuhmacher
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Marko Kopljar,Maximilian Rinderle
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Jacob Holm,Maximilian Rinderle
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Lasse Andersson,Maximilian Rinderle
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Johan Koch,Maximilian Rinderle
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Valter Chrintz,Maximilian Rinderle
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Miloš Vujović,Maximilian Rinderle
Füchse Berlin,max-Schmeling-Halle,Berlin,Jaron Siewert,1891,4,Handball-Bundesliga,9000,Dejan Milosavljev,Maximilian Rinderle
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Viggó Kristjánsson,Karsten Schäfer
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Max Häfner,Karsten Schäfer
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Rudolf Faluvégi,Karsten Schäfer
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Samuel Röthlisberger,Karsten Schäfer
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Luis Foege,Karsten Schäfer
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Patrick Zieker,Karsten Schäfer
TV Bittenfeld,Porsche-Arena,Stuttgart,Thomas König,1898,14,Handball-Bundesliga,6181,Johannes Bitter,Karsten Schäfer
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Šime Ivić,Thomas Hankel
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Benedikt Kellner,Thomas Hankel
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Steffen Fäth,Thomas Hankel
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Petter Øverby,Thomas Hankel
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Johannes Sellin,Thomas Hankel
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Max Jaeger,Thomas Hankel
HC Erlangen,Arena Nürnberger Versicherung,Nuremberg,Michael Haaß,2001,13,Handball-Bundesliga,8308,Klemen Ferlin,Thomas Hankel
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Oscar von Oettingen,Zvonimir Serdarušić
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Jim Gottfridsson,Zvonimir Serdarušić
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Aaron Mensing,Zvonimir Serdarušić
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Simon Hald,Zvonimir Serdarušić
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Lasse Svan Hansen,Zvonimir Serdarušić
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Emil Jakobsen,Zvonimir Serdarušić
SG Flensburg-Handewitt,Flens-Arena,Flensburg,Maik Machulla,1990,2,Handball-Bundesliga,6300,Benjamin Burić,Zvonimir Serdarušić
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Tobias Ellebæk,Rolf Brack
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Nemanja Zelenović,Rolf Brack
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Janus Daði Smárason,Rolf Brack
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Krešimir Kozina,Rolf Brack
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Marco Rentschler,Rolf Brack
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Marcel Schiller,Rolf Brack
Frisch Auf Göppingen,EWS Arena,Göppingen,Hartmut Mayerhoffer,1896,7,Handball-Bundesliga,5600,Urh Kastelic,Rolf Brack
HSV Hamburg,Barclaycard Arena,Hamburg,Torsten Jansen,1999,0,Handball-Bundesliga,13000,Jan Torben Ehlers,Markus Groß
HSV Hamburg,Barclaycard Arena,Hamburg,Torsten Jansen,1999,0,Handball-Bundesliga,13000,Torsten Jansen,Markus Groß
TSV Hannover-Burgdorf,TUI Arena,Hannover,Antonio Carlos Ortega,1912,11,Handball-Bundesliga,9850,Ilija Brozović, Iker Romero
TSV Hannover-Burgdorf,TUI Arena,Hannover,Antonio Carlos Ortega,1912,11,Handball-Bundesliga,9850,Ivan Martinović, Iker Romero
THW Kiel,Sparkassen-Arena,Kiel,Filip Jicha,1904,1,Handball-Bundesliga,10285,Nikola Bilyk, Christian Sprenger
THW Kiel,Sparkassen-Arena,Kiel,Filip Jicha,1904,1,Handball-Bundesliga,10285,Domagoj Duvnjak , Christian Sprenger
SC DHfK Leipzig,Arena Leipzig,Leipzig,André Haber,1954,6,Handball-Bundesliga,6327,Lovro Jotić,Uwe Jungandreas
SC DHfK Leipzig,Arena Leipzig,Leipzig,André Haber,1954,6,Handball-Bundesliga,6327,Marko Mamić,Uwe Jungandreas
Rhein-Neckar Löwen,SAP ARENA,Mannheim,Klaus Gärtner,2002,5,Handball-Bundesliga,13200,Andy Schmid,Ola Lindgren
Rhein-Neckar Löwen,SAP ARENA,Mannheim,Klaus Gärtner,2002,5,Handball-Bundesliga,13200,Kristjan Horžen,Ola Lindgren
